text,url,source_url,concatenated
Miss Kobayashi's Dragon Maid,https://tvtropes.org/pmwiki/pmwiki.php/Manga/MissKobayashisDragonMaid,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'Miss Kobayashi's Dragon Maid':'https://tvtropes.org/pmwiki/pmwiki.php/Manga/MissKobayashisDragonMaid'
Misshapen,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Misshapen,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Misshapen':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Misshapen'
Mistborn The Original Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MistbornTheOriginalSeries,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Literature,'Mistborn The Original Series':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/MistbornTheOriginalSeries'
Mister Punch,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/PunchAndJudy,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Literature,'Mister Punch':'https://tvtropes.org/pmwiki/pmwiki.php/Theatre/PunchAndJudy'
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'Mobile Fighter G Gundam':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam'
Mon Colle Knights,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MonColleKnights,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'Mon Colle Knights':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/MonColleKnights'
Monkeybone,https://tvtropes.org/pmwiki/pmwiki.php/Film/Monkeybone,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Film,'Monkeybone':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Monkeybone'
Monster Factory,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/MonsterFactory,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/WebOriginal,'Monster Factory':'https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/MonsterFactory'
Monty Python's The Meaning of Life,https://tvtropes.org/pmwiki/pmwiki.php/Film/MontyPythonsTheMeaningOfLife,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Film,'Monty Python's The Meaning of Life':'https://tvtropes.org/pmwiki/pmwiki.php/Film/MontyPythonsTheMeaningOfLife'
Moon Over Soho,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MoonOverSoho,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Literature,'Moon Over Soho':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/MoonOverSoho'
Moonwalker,https://tvtropes.org/pmwiki/pmwiki.php/Film/Moonwalker,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Film,'Moonwalker':'https://tvtropes.org/pmwiki/pmwiki.php/Film/Moonwalker'
Morrowind,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsIIIMorrowind,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Morrowind':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/TheElderScrollsIIIMorrowind'
Mortal Kombat 3,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MortalKombat3,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/Advertisement,'Mortal Kombat 3':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MortalKombat3'
Moshi Monsters,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MoshiMonsters,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Moshi Monsters':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MoshiMonsters'
Mother,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Mother,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Mother':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Mother'
Mother 3,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Mother3,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Mother 3':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Mother3'
Mother Holle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MotherHolle,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/FairyTales,'Mother Holle':'https://tvtropes.org/pmwiki/pmwiki.php/Literature/MotherHolle'
Mother: Cognitive Dissonance,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CognitiveDissonance,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/VideoGames,'Mother: Cognitive Dissonance':'https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CognitiveDissonance'
Mount Head,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MountHead,https://tvtropes.org/pmwiki/pmwiki.php/BodyHorror/AnimeAndManga,'Mount Head':'https://tvtropes.org/pmwiki/pmwiki.php/Anime/MountHead'
