Title,Tropes Count
Pantheon,139
Cloverfield,138
Tomorrowland,138
CoDominium,138
Lord of the Flies,138
The Southern Reach Trilogy,138
Jedi Apprentice,138
Brynhildr in the Darkness,138
Command & Conquer: Red Alert,138
The Division 2,138
Halo 2,138
Resonance of Fate,138
StarCrawlers,138
Star Trek: 25th Anniversary,138
Voltron Force,138
The Sky Crawlers,137
The Transformers Megaseries,137
Razor's Edge,137
Spider-Man Trilogy,137
The Moon Is a Harsh Mistress,137
Time Enough for Love,137
Cage of Eden,137
Hc Svnt Dracones,137
Far Cry 3: Blood Dragon,137
Sonic the Hedgehog,137
Marco and the Galaxy Dragon,137
Cowboys & Aliens,136
Mad Max 2: The Road Warrior,136
Always Coming Home,136
Crest of the Stars,136
Halo: Contact Harvest,136
The War Against the Chtorr,136
Alien Nation,136
Jazz Jackrabbit,136
Master of Orion,136
Zombieland: Double Tap,135
Bill & Ted's Bogus Journey,135
Victor Frankenstein,135
GURPS Reign of Steel,135
Ratchet & Clank: Up Your Arsenal,135
Star Wars Resistance,135
Titan Maximum,135
Classroom Crisis,134
Trigun Stampede,134
Planet of the Apes (1968),134
Contagion (2011),134
Red Rising,134
Resurrection Life,134
Star Wars: Roleplaying Game,134
UFO (1970),134
Ratchet & Clank Future: A Crack in Time,134
Torment: Tides of Numenera,134
Masses to Masses,133
"I Have No Mouth, and I Must Scream",133
The Long Earth,133
Heavenly Delusion,133
Frank Herbert's Dune,133
The Tomorrow People (2013),133
A Boy and His Blob,133
RAY Series,133
Starcom: Nexus,133
Alice Grove,133
Guardians of the Galaxy (2015),133
Den-noh Coil,132
G.I. Joe: A Real American Hero (Marvel),132
Jason X,132
Arrival,132
The Faculty,132
Prey (2022),132
Sunshine,132
The Descent,132
Hulk,132
Small Soldiers,132
Book of the New Sun,132
Past Doctor Adventures,132
Trinity Blood,132
SeaQuest DSV,132
Severance (2022),132
Aliens: Fireteam Elite,132
The Evil Within 2,132
ObsCure,132
Hate Plus,132
unOrdinary,132
Sealab 2021,132
Cyberpunk: Edgerunners,131
Panzer World Galient,131
East of West,131
Doomsday,131
A.I.: Artificial Intelligence,131
The Return of the Living Dead,131
Agent G,131
Remnants,131
Jeremiah,131
Dying Light 2 Stay Human,131
Endless Legend,131
Pipeworks ''Godzilla'' Trilogy,131
Iron Marines,131
Poppy Playtime,131
Satellite Reign,131
Singularity,131
"Quentyn Quinn, Space Ranger",131
Space Runaway Ideon,130
Wolf's Rain,130
Soldier,130
Spiral Arm,130
Resident Evil: Heavenly Island,130
Satisfactory,130
Total Annihilation,130
Insecticomics,130
LEGO Space: The Comic,130
Dinosaucers,130
Dominion Tank Police,129
The Predator,129
Lucy,129
A Clockwork Orange,129
Eden: It's an Endless World!,129
Resident Evil: The Marhawa Desire,129
Twilight Histories,129
Black Crusade,129
Deathwatch,129
Limitless,129
Space: 1999,129
Voltes V: Legacy,129
Headhunter,129
Neo Scavenger,129
Primordia (2012),129
Read Only Memories,129
Resident Evil (Remake),129
Your Turn to Die,129
Plastic Memories,128
Stargate,128
Dance of the Dead,128
Donnie Darko,128
"Honey, I Shrunk the Kids",128
Toward the Terra,128
Code 7,128
Half-Life,128
Parasite Eve 2,128
SIGNALIS,128
Ava's Demon,128
Motorcity,128
R.O.T.O.R.,127
The Hunger Games: Catching Fire,127
The Second Gate,127
20th Century Boys,127
Violence Jack,127
Star Realms,127
Black★Rock Shooter,127
Steredenn,127
War of the Monsters,127
DRAMAtical Murder,127
The New Adventures of He-Man,127
Dinosaur King,126
Saber Marionette J,126
Guardians of the Galaxy,126
E.T. the Extra-Terrestrial,126
10 Cloverfield Lane,126
The Matrix Resurrections,126
The Butterfly Effect,126
The Ballad of Songbirds and Snakes,126
Within the Wires,126
Ashen Stars,126
Another Life (2019),126
Battlestar Galactica (1978),126
Alien Soldier,126
Flashback,126
Mirror's Edge Catalyst,126
Mother,126
Senko no Ronde,126
International Comic Continuity,126
Nemesis the Warlock,125
Darth Vader: Dark Lord of the Sith,125
Jupiter Ascending,125
Overlord (2018),125
Space Mutiny,125
Brightburn,125
Waterworld,125
Cube,125
The Host (2008),125
The Stepford Wives,125
Vatta's War,125
Conduit 2,125
Quake II,125
Jedi Knight: Dark Forces II,125
sora,125
Analogue: A Hate Story,125
Space Patrol Luluco,124
The Matrix Revolutions,124
Bill & Ted's Excellent Adventure,124
Snow Crash,124
CthulhuTech,124
Orphan Black: 7 Genes,124
Blacklight Retribution,124
Firefall,124
RefleX,124
Technobabylon,124
Almighty Protectors,124
Angels 2200,124
Val and Isaac,124
Doom,123
Color Out of Space (2020),123
Jurassic Park,123
The Mule,123
My Teacher Is an Alien,123
Star Trek: Vanguard,123
MarsCorp,123
Zoo,123
Galerians,123
Tachyon: The Fringe,123
Trying Human,123
The Jetsons,123
Waiting in the Summer,122
Blood of Stars,122
Eisenhorn,122
Pleasant Green Universe,122
Better Off Ted,122
Dirk Gently's Holistic Detective Agency,122
Earth: Final Conflict,122
Metal Gear Solid V: Ground Zeroes,122
Portal,122
Challenge of the GoBots,122
Monsuno,122
The Host (2006),121
Carrera's Legions,121
Shatterpoint,121
ARIA,121
Chernobylite,121
The Nameless Mod,121
Heaven's Vault,121
Resident Evil 0,121
Star Citizen,121
Tribes,121
Strong Female Protagonist,121
Kuromukuro,120
Tales of the Jedi,120
After the Dark,120
Bicentennial Man,120
After the Revolution,120
The Irregular at Magic High School,120
DearS,120
12 Monkeys,120
The Event,120
Jericho (2006),120
Pandora,120
Second Sight,120
Big Guy and Rusty the Boy Robot,120
Shin Mazinger,119
Transformers: Armada,119
Strontium Dog,119
The Postman,119
Hot Tub Time Machine,119
Childe Cycle,119
The Locked Tomb,119
Alien Hominid,119
Carrion,119
Crusader,119
Earthworm Jim,119
Halo 3,119
MechQuest,119
Mega Man (Classic),119
Mega Man X5,119
Phantasy Star II,119
Darkman,118
Fantastic Four Duology,118
Resident Evil: Retribution,118
Shredder Orpheus,118
The Prestige,118
The Purge,118
11/22/63,118
Combatants Will Be Dispatched!,118
Foundation Series,118
Jackelian Series,118
Pump Six and Other Stories,118
Star Fleet Battles,118
3%,118
Luminous Avenger iX,118
Distant Worlds,118
Hostile Waters: Antaeus Rising,118
Oxygen Not Included,118
Bounty Hunter,118
X-COM: Apocalypse,118
A Girl and Her Fed,118
Ian Jones-Quartey,118
Digimon Ghost Game,117
Genesis Climber MOSPEADA,117
Star Wars (Marvel 1977),117
Forbidden Planet,117
Close Encounters of the Third Kind,117
Halo 4: Forward Unto Dawn,117
M3GAN,117
Mortal Engines,117
Doom,117
The Villains Series,117
Celestus,117
Earth Defense Force 5,117
Jurassic World Alive,117
Mega Man 8,117
Neocron,117
OverBlood 2,117
Surviving Mars,117
Weapon Brown,117
Sonic Prime,117
In Time,116
Resident Evil (2002),116
Slipstream (1989),116
Eternal Sunshine of the Spotless Mind,116
The Void,116
Confederation of Valor,116
Halo: The Fall of Reach,116
The War of the Worlds (1898),116
Torchwood: Children of Earth,116
Future Man,116
Tomes And Talismans,116
Bionic Commando,116
Mega Man Battle Network 4: Red Sun and Blue Moon,116
Rampage,116
Starsector,116
"Arthur, King of Time and Space",116
Ben 10 (2016),116
Death Race 2000,115
The Guardians of the Galaxy Holiday Special,115
Lifeforce,115
A Canticle for Leibowitz,115
Griffin Ranger,115
Iron Widow,115
Nightfall (Series),115
Star Trek: Ex Machina,115
The Zashiki Warashi of Intellectual Village,115
Mahoromatic,115
Hard War,115
Slime Rancher,115
Strife,115
Ciem Webcomic Series,115
Brave Exkaiser,114
Project A-Ko,114
Star Trek (DC Comics),114
RoboCop (2014),114
Alien: Resurrection,114
The Drowned Cities,114
Spaceforce,114
Star Wars: Kenobi,114
Luminous Avenger iX 2,114
Ground Control,114
Metal Gear Solid V,114
Radiant Silvergun,114
A Miracle of Science,114
Packages from Planet X,114
Burst Angel,113
Dancougar Nova,113
Lazarus,113
The Abyss,113
12 Monkeys,113
Flubber,113
Ultraviolet (2006),113
The Handmaid's Tale,113
Death Star,113
Revan,113
Enslaved: Odyssey to the West,113
The Forest,113
Hello Charlotte,113
Shogo: Mobile Armor Division,113
Wing Commander: Privateer,113
X-COM: Terror from the Deep,113
Remember11,113
Trevor (2020),113
Josie And The Pussy Cats,113
GunBuster,112
Rolling Girls,112
The Blob (1988),112
The Hunger Games: Mockingjay Part 1,112
Star Trek: Voyager Relaunch,112
The Strange Case of Dr. Jekyll and Mr. Hyde,112
Xandri Corelel,112
Azure Striker Gunvolt Series,112
Deus Ex: Invisible War,112
Halo 3: ODST,112
Quake III: Arena,112
The Riftbreaker,112
Sin and Punishment,112
Jedi Knight II: Jedi Outcast,112
Transformers: The Game (DS),112
Bearmageddon,112
I Was Kidnapped by Lesbian Pirates from Outer Space!!!,112
Love and Capes,112
Mobile Suit Gundam: Char's Counterattack,111
Doctor Who (Titan): Tenth Doctor,111
Forges of Mars,111
Perry Rhodan,111
Sten,111
Those That Wake,111
Bloody Monday,111
Shin Mazinger Zero,111
Evolve,111
Scarlet Nexus,111
Star Trek: Armada,111
Void Bastards,111
Angels With Scaly Wings,111
Obsidian Blaze,111
SSSS.GRIDMAN,110
Transformers: ★Headmasters,110
The Last Daughter,110
Deep Blue Sea,110
The Demon Princes,110
Gor,110
The Maze Runner,110
Technic History,110
7 Seeds,110
Monsterpocalypse,110
Torchwood: Miracle Day,110
Earth Defense Force,110
General Protection Fault,110
Daimos,109
Superman IV: The Quest for Peace,109
Mad Max,109
The Chrysalids,109
Star Trek: The Next Generation Relaunch,109
Uglies,109
Aposimz,109
TerraforMARS,109
Iron Gaia,109
Quantum Break,109
Rogue Galaxy,109
SYNTHETIK,109
Viscera Cleanup Detail,109
Policenauts,109
Sky Girls,108
Shakara,108
Finder,108
Terminator Salvation,108
Barbarella,108
Empire from the Ashes,108
The Star of the Guardians,108
The Hand of Thrawn,108
Grounded,108
Hardspace: Shipbreaker,108
Jets'n'Guns,108
Mega Man 4,108
Ripper,108
Serious Sam II,108
Sonic the Hedgehog 4,108
Magience,108
Starslip,108
The BOTS Master,108
Heavy Metal L-Gaim,107
Princess Principal,107
Airplane II: The Sequel,107
Ex Machina,107
Undefeated Bahamut Chronicle,107
Level E,107
Remina,107
Only War,107
Rogue Trader,107
Dominion,107
Years and Years,107
Command & Conquer 3: Tiberium Wars,107
The Division,107
Earth Defense Force: Insect Armageddon,107
Wings of Dawn,107
Into the Breach,107
Mega Man X: Corrupted,107
Wing Commander: The Kilrathi Saga,107
Root Double: Before Crime * After Days,107
Max Steel (2013),107
Screamers,106
They Live!,106
The 6th Day,106
Galactic Milieu,106
The History of the Galaxy,106
The Lost Stars,106
MARZENA,106
The Time Traveler's Wife,106
Who Needs Men?,106
Killing Bites,106
Halo Wars 2,106
Monolith,106
Ratchet & Clank: All 4 One,106
The Surge 2,106
VVVVVV,106
Miles from Tomorrowland,106
LEGO Star Wars: The Freemaker Adventures,106
AKB0048,105
Blue Submarine No. 6,105
Fafner in the Azure: Dead Aggressor,105
The Transformers (IDW),105
Babylon A.D.,105
The Time Machine (2002),105
Freaked,105
Outbound Flight,105
Broken Blade,105
FlashForward (2009),105
Heat Signature,105
Jurassic World: The Game,105
Metal Gear 2: Solid Snake,105
Metroid,105
Shadowrun,105
Star Wars: Battlefront,105
Casey and Andy,105
3Below,105
Contact,104
Gattaca,104
Bride of Frankenstein,104
Battlefield Earth,104
Dreamcatcher,104
H.I.V.E. Series,104
Skylark Series,104
Troy Rising,104
Ultramarines,104
Girls' Last Tour,104
Fading Suns,104
Starfinder,104
RoboCop: The Series,104
Hitman 2: Silent Assassin,104
Mega Man Powered Up,104
Mega Man Revolution,104
Steins;Gate 0,104
21st Century Fox,104
Las Lindas,104
Nebula,104
Thundarr the Barbarian,104
Katmandu,103
RoboCop 3,103
Superman Returns,103
Alexis Carew,103
Bolo,103
Futuristic Violence And Fancy Suits,103
Giants Series,103
In Conquest Born,103
The Hitchhiker's Guide to the Galaxy (1978),103
Ace Combat 3: Electrosphere,103
Anthem (2019),103
Assassin's Creed III: Liberation,103
Doom 64,103
Dune II,103
Half-Life: Opposing Force,103
Hitman: Codename 47,103
The Longest Journey,103
Galaxy Angel,102
Xabungle,102
Attack the Block,102
Lazer Team,102
Night of the Comet,102
The Relic,102
Runaway,102
"Alice, Girl from the Future",102
Callahan's Crosstime Saloon,102
Cryptonomicon,102
Deathlands,102
Halo: Ghosts of Onyx,102
Galaxy of Fear,102
The Turner Diaries,102
The World of Narue,102
The Bright Sessions,102
The Last of Us (2023),102
Terrahawks,102
Metroid II: Return of Samus,102
Mini Robot Wars,102
Star Ocean: The Last Hope,102
Transcendence,102
Chaos Walking,101
Divergent,101
Digimon V-Tamer 01,101
Mission to Zyxx,101
Humans,101
The Tomorrow People (1973),101
Alien Breed,101
Barotrauma,101
EVERSPACE,101
X-Wing Alliance,101
Evil Con Carne,101
Galactik Football,101
DieBuster,100
"Last Exile: Fam, the Silver Wing",100
Bill & Ted's Most Triumphant Return,100
Space People,100
Blindsight,100
Sphere,100
Astra Lost in Space,100
Cannon God Exaxxion,100
Galaxy Express 999,100
SLA Industries,100
Stars Without Number,100
Gihren's Greed,100
Homeworld: Deserts of Kharak,100
I Am Not A Monster,100
Space Empires,100
Space Engineers,100
Back to the Future,100
Astro Boy,99
Gundam Build Divers,99
Love and Rockets,99
Moon,99
Crier's War,99
 The 5th Wave,99
Last and First Men,99
The Last Chancers,99
Red Mars Trilogy,99
The Tommyknockers,99
Infinity,99
Hanna,99
Alien Swarm,99
Punishing: Gray Raven,99
Ratchet & Clank: Into the Nexus,99
Serious Sam,99
UFO Afterblank,99
Hero Material,99
Beast Machines,99
GoLion,98
Magical Girl Lyrical Nanoha A's,98
Shinzo,98
Travis,98
Ad Astra,98
Lockout,98
The Wandering Earth,98
Toys,98
Daemon,98
Dirk Gently's Holistic Detective Agency,98
Chapterhouse: Dune,98
Glory Road,98
Isaac Asimov's Caliban,98
The Road,98
Ship Breaker,98
Tunnel in the Sky,98
Well World,98
First Wave,98
Changed,98
Magical Girl Lyrical Nanoha A's Portable,98
Mega Man Battle Network 2,98
Metroid: Zero Mission,98
Unreal II: The Awakening,98
The Zombie Hunters,98
Jin-Roh: The Wolf Brigade,97
Voltes V,97
Zoids: Chaotic Century,97
Plan 9 from Outer Space,97
The Nutty Professor (1996),97
Darkness Visible,97
Mass Effect Annihilation,97
Orthogonal,97
Tales of the Bounty Hunters,97
Station Eleven,97
Green Worldz,97
Captain Power and the Soldiers of the Future,97
Spore Creatures,97
Dark Forces Saga,97
Transformers: War for Cybertron Trilogy,97
Transformers: EarthSpark,97
Xyber 9: New Dawn,97
Argevollen,96
Blue Gender,96
Metropolis (2001),96
Futurama,96
Bill & Ted Face the Music,96
Predestination,96
The One,96
Fahrenheit 451,96
The Lords of Creation,96
Michael Vey,96
Otherside Picnic,96
The Quantum Thief,96
Black Fleet Crisis,96
Dark Lord—The Rise of Darth Vader,96
Legacy of the Force,96
Warlock Series,96
Agents of Mayhem,96
Alpha Prime,96
Mega Man 6,96
Phantasy Star I,96
Rengoku,96
Risk of Rain,96
Star Ruler,96
Timespinner,96
X-COM: UFO Defense,96
Irregular Webcomic!,96
The Young Protectors,96
Dead Leaves,95
Phantasy Star Online 2: Episode Oracle,95
Cavewoman,95
Resident Alien,95
Scarlet Traces,95
When There Was a Tomorrow,95
Tank Girl,95
The Purge: Anarchy,95
Weird Science,95
Aristoi,95
Black Tide Rising,95
Expedition,95
Federation of the Hub,95
Hell's Gate,95
Only Sense Online,95
The Outside,95
Star Wars: Bloodline,95
The Time Tunnel,95
BallisticNG,95
Hard Edge,95
Imscared,95
Mega Man & Bass,95
Mega Man X,95
Phantasy Star Zero,95
Space Quest IV: Roger Wilco and the Time Rippers,95
A Final Unity,95
Last Res0rt,95
Sarilho,95
Æon Flux,95
Wing Commander Academy,95
Digimon Adventure: (2020),94
Najica Blitz Tactics,94
Battle Beyond the Stars,94
The Hunger Games: Mockingjay Part 2,94
Outbreak,94
Push,94
Black Man,94
The Caves of Steel,94
The Stainless Steel Rat,94
Space Adventure Cobra,94
Yuria 100 Shiki,94
7 Days (1998),94
Frequency (2016),94
Armored Core: Verdict Day,94
Axiom Verge,94
Dysnomia,94
Furi,94
Metal Gear Solid: Portable Ops,94
Overwatch,94
Rave Heart,94
Space Invaders,94
Starship Titanic,94
Runners,94
Code Geass: Akito the Exiled,93
FLCL Progressive & Alternative,93
Gundam: Reconguista in G,93
Transformers: Energon,93
Doctor Who (Titan): Eleventh Doctor,93
The Incal,93
Videodrome,93
Earth Girl,93
Illuminatus!,93
The Martian Chronicles,93
Dogs: Bullets & Carnage,93
Pandora in the Crimson Shell: Ghost Urn,93
Please Save My Earth,93
d20 Modern,93
Gamma World,93
Atomic Heart,93
Hard Corps: Uprising,93
Journey to the Savage Planet,93
Mega Man Network Transmission,93
VA-11 HALL-A,93
Harbourmaster,93
Carole & Tuesday,92
Godzilla: Planet of the Monsters,92
Kotetsu Jeeg,92
Casshern Sins,92
Saber Rider and the Star Sheriffs,92
Copperhead,92
Another Realm,92
Stargate: Continuum,92
Skyline,92
Cyborg (1989),92
Deep Impact,92
Beyond the Black Rainbow,92
Detention,92
Frankenstein (1931),92
Hollow Man,92
Southland Tales,92
Vanilla Sky,92
Agatha H. and the Voice of the Castle,92
Chung Kuo,92
Paradox,92
Robopocalypse,92
Star Trek: Destiny,92
TimeWatch,92
Twilight Imperium,92
The Gifted (2017),92
Intergalactic,92
The Book of Boba Fett,92
Atom RPG,92
Elite,92
Man of Medan,92
Street Fighter X Mega Man,92
Space Rangers,92
Vega Strike,92
Commander Kitty,92
Star Wars: The Bad Batch,92
Transformers: BotBots,92
Villainous (Cartoon Network),92
The Transformers: Sins of the Wreckers,91
Thunderbirds,91
I Am Legend,91
Zardoz,91
Re-Animator,91
Cyberpunk City,91
Ravenor,91
Luke Skywalker and the Shadows of Mindor,91
Journey into Space,91
2300 AD,91
Adeptus Evangelion,91
ReGenesis,91
Hero Core,91
Iron Storm,91
Dreamfall: The Longest Journey,91
Mega Man V,91
Observation,91
Phantasy Star III,91
Genocide Man,91
Gone with the Blastwave,91
The Pocalypse,91
Action Man (2000),91
B't X,90
Magical Girl Lyrical Nanoha StrikerS,90
Memories,90
Resident Evil: Apocalypse,90
The Crazies (2010),90
Eight Legged Freaks,90
Bequin,90
Evolution,90
I Am Number Four,90
"Rats, Bats and Vats",90
Warchild Series,90
Desert Punk,90
Earth 2,90
Airforce Delta,90
Astalon: Tears of the Earth,90
Digimon World 3,90
Far Cry,90
Jurassic Park: Trespasser,90
Naev,90
Planet Alcatraz,90
Raft,90
Resident Evil: Operation Raccoon City,90
Urban Assault,90
Captain Simian and the Space Monkeys,90
The Brave Fighter of Sun Fighbird,89
The Brave of Gold Goldran,89
Captain Earth,89
Blade Runner,89
Warlord of Mars,89
Soylent Green,89
The Thing (2011),89
Turbo Kid,89
A Cure for Wellness,89
What Happened to Monday,89
Area 51,89
Axiom's End,89
The ColSec Trilogy,89
Flowers for Algernon,89
Paradox Trilogy,89
Space Brothers,89
Colony,89
The Hitchhiker's Guide to the Galaxy (1981),89
Logan's Run,89
Endless Space 2,89
Gratuitous Space Battles,89
Open Sorcery,89
Star Trek Text Game,89
Magellan,89
Galaxy High,89
Phantom 2040,89
Heroic Age,88
Megazone 23,88
Resident Evil: Afterlife,88
Slither,88
Westworld,88
Blackout,88
The Cobra Trilogy,88
The Future Is Wild,88
"Life, the Universe and Everything",88
Spock's World,88
Bio-Meat: Nectar,88
Ultraman,88
Captain Scarlet and the Mysterons,88
Other Space,88
Space Cases,88
Albion,88
Halo Wars,88
MDK2,88
Mega Man's Christmas Carol,88
Metal Gear,88
Ratchet & Clank Future: Tools of Destruction,88
Star Fox,88
The Glass Scientists,88
Ruby Nation,88
Lloyd in Space,88
Invasion of the Body Snatchers (1978),87
Palm Springs,87
Grand Central Arena,87
Lilith's Brood,87
The Obernewtyn Chronicles,87
"Leia, Princess of Alderaan",87
The Courtship of Princess Leia,87
Hinamatsuri,87
Inuyashiki,87
Galaxy on Fire,87
House of Ashes,87
Outlast II,87
Pardus,87
P.N.03,87
Mag Isa,87
Elephantmen,86
New Gods,86
SpyBoy,86
Coneheads,86
Flight of the Navigator,86
Love and Monsters,86
The Strange Case of the Alchemist's Daughter,86
The Fungus,86
Great Ship,86
Instrument of God,86
Patternist,86
Qualia the Purple,86
Star Wars: Lost Stars,86
Variable Star,86
Ascension (Miniseries),86
Artery Gear: Fusion,86
Condemned 2: Bloodshot,86
The Conduit,86
Grey Goo (2015),86
Oolite,86
OPUS: Echo of Starsong,86
X-Wing,86
The Surge,86
Ray Fox,86
The Girl Who Leapt Through Space,85
Atari Force,85
Transformers: Wings of Honor,85
Queen of the Swarm,85
Resident Evil Film Series,85
The Purge: Election Year,85
Blood Angels,85
Chanur Novels,85
The Golden Oecumene,85
Star Wars: Cult Encounters and Supernatural Encounters,85
Terra Ignota,85
Chobits,85
Gangsta.,85
Onideka,85
GURPS Alternate Earths,85
Tracker,85
Achron,85
Mega Man Battle Network 3: White and Blue,85
Rage 2,85
Star Wars Battlefront (2015),85
The Turing Test,85
We Happy Restaurant,85
Dinotrux,85
Stitch!,84
Valérian and Laureline,84
Mass Foundations,84
Birdemic,84
Cube 2: Hypercube,84
Lake Placid,84
Queen of Outer Space,84
Tetsuo: The Iron Man,84
Beyond Reality,84
The Book of Joan,84
Heart of Steel,84
And Another Thing...,84
Ringworld,84
Mardock Scramble,84
The Power,84
T2 Trilogy,84
MegaMan NT Warrior (2001),84
The Dig,84
Travis Strikes Again: No More Heroes,84
Shadow Empire,84
Thomas Was Alone,84
Blade Runner: Black Lotus,83
Blue Comet SPT Layzner,83
Sillage,83
Men in Black: International,83
The Lawnmower Man,83
Agatha H. and the Clockwork Princess,83
"Captain French, or the Quest for Paradise",83
Doctor Who Missing Adventures,83
Eldraeverse,83
Jennifer Government,83
Knight's & Magic,83
Ready Player Two,83
Sector General,83
Slingshot,83
Starship's Mage,83
The Windup Girl,83
Damnation Decade,83
The Bionic Woman,83
Mouse (2021),83
RoboCop: Prime Directives,83
Another World,83
Mega Man X: Command Mission,83
Phantasy Star,83
Star Wolves,83
Thing-Thing,83
Fire Warrior,83
Quantum Vibe,83
Mystery Flesh Pit National Park,83
Tripping the Rift,83
Ghost in the Shell: Arise,82
Global Frequency,82
Rork,82
Space Battleship Yamato,82
Total Recall (2012),82
A Quiet Place Part II,82
The Forever Purge,82
Scanners,82
Eve and Adam,82
The Forever War,82
The Sister Verse and the Talons of Ruin,82
Star Trek: Klingon Empire,82
Young Jedi Knights,82
Mazinger Angels,82
Saikano,82
Gramarie System,82
Man from Atlantis,82
Mega Man X2,82
Mega Man X3,82
Planetary Annihilation,82
Silhouette Mirage,82
Strange Adventures In Infinite Space,82
Virgo Versus the Zodiac,82
Wasteland,82
Ghost in the Shell: SAC_2045,81
Harlem Heroes,81
The Transformers: Windblade,81
The Core,81
Fantastic Four: Rise of the Silver Surfer,81
Lost in Space,81
Robot Jox,81
The Curse of Frankenstein,81
Maximum Overdrive,81
Twins (1988),81
God-Emperor of Dune,81
The Four Horsemen Universe,81
Mockingjay,81
"Pay Me, Bug!",81
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,81
The Saga of Seven Suns,81
A Scanner Darkly,81
Star Trek: Typhon Pact,81
Tales from the Mos Eisley Cantina,81
Tour of the Merrimack,81
MPD Psycho,81
Find Us Alive,81
Kyle XY,81
Darkstar One,81
Jumper,81
Mad Stalker: Full Metal Force,81
Mercs of Boom,81
X-Men Legends,81
FreakAngels,81
Planet of Hats,81
Defenders of the Earth,81
Time Jam: Valerian & Laureline,81
Blassreiter,80
Bill & Ted Go To Hell,80
Black Science,80
Figment (Disney Kingdoms),80
ROM Spaceknight,80
The Uniques,80
Don't Worry Darling,80
Surrogates,80
Blindfold,80
The Killing Star,80
The Robots of Dawn,80
Space Captain Smith,80
The Space Trilogy,80
The Callista Trilogy,80
Dandadan,80
Mutant X,80
War of the Worlds (1988),80
A.R.E.S. Extinction Agenda,80
Choice of Robots,80
Mega Man Revenge Of The Fallen,80
Riddle School,80
StarFlight,80
Star Fox 2,80
Star Wars: Galaxies,80
Strike Suit Zero,80
Galaxy Angel II,80
Cassiopeia Quinn,80
Leaving the Cradle,80
Star Power,80
Deca-Dence,79
The Orbital Children,79
Planet of the Apes (2001),79
"20,000 Leagues Under the Sea",79
"Honey, I Blew Up the Kid",79
Santa Claus Conquers the Martians,79
Stalker (1979),79
Amtor,79
Brothers of the Snake,79
Expeditionary Force,79
The Girl With All the Gifts,79
Manticore Ascendant,79
"I, Jedi",79
Santa Olivia,79
Slaughterhouse-Five,79
Star Wars: Tarkin,79
Tower and the Hive,79
Dirk Gently,79
Maniac (2018),79
Small Wonder,79
Astebreed,79
Cytus II,79
Futurama,79
Jurassic World: Evolution,79
The Last Federation,79
Mega Man 10,79
One Must Fall,79
République,79
VGA Planets,79
The Hollow,79
Fate/Extra Last Encore,78
Kado: The Right Answer,78
The Simping Detective,78
The Cloverfield Paradox,78
A Quiet Place,78
The Whisperer in Darkness,78
Mad Max,78
The Tomorrow War,78
Cryptid Hunters,78
The Star Kingdom,78
The Interdependency,78
Jesus Video,78
Phantoms,78
World's End Harem,78
Starfire,78
Animorphs,78
Anachronox,78
Mega Man,78
Superhero League of Hoboken,78
Fragment's Note,78
Zero Escape,78
Minor Acts Of Heroism,78
Old School Melonpool,78
Bounty Hamster,78
Star Trek: Prodigy,78
Heat Guy J,77
Star Wars: Republic,77
The Transformers: Combiner Wars,77
Screamers: The Hunting,77
Alien vs. Predator,77
Life (2017),77
Hotel Artemis,77
Leviathan (1989),77
Limitless,77
Quarantine (2008),77
Aeon Legion: Labyrinth,77
"The Ear, the Eye and the Arm",77
The Merchant Princes Series,77
Naked Lunch,77
Ravirn,77
Stranger in a Strange Land,77
War of the Worlds: Global Dispatches,77
The Way Series,77
The Frankenstein Chronicles,77
BattleTanx,77
Mega Man 5,77
Starlancer,77
Code Geass: Lost Colors,77
Combo Rangers,77
Crankrats,77
Coyote Ragtime Show,76
Please Teacher!,76
Frankenstein's Army,76
Anaconda,76
Contracted,76
Cypher,76
Dark Star,76
The Troll Hunter,76
All You Need is Kill,76
Green-Sky Trilogy,76
The Hackers,76
How Much for Just the Planet?,76
Illium,76
Incompetence,76
The Invisible Man,76
Lost Time,76
The Corellian Trilogy,76
The Stars Are Cold Toys,76
Angelic Layer,76
After the Bomb,76
Star Frontiers,76
In From the Cold,76
My Holo Love,76
Painkiller Jane,76
The Citadel,76
Ghost Hacker,76
LEGO Jurassic World,76
Paradigm,76
Supreme Commander 2,76
Vangers,76
Spiral Zone,76
Android Kikaider: The Animation,75
Digimon Xros Wars: The Young Hunters Who Leapt Through Time,75
Flint the Time Detective,75
Gaiking: Legend of Daiku Maryu,75
Gall Force,75
Megalo Box,75
Give Me Liberty,75
Sky Doll,75
Turkey Shoot,75
Aliens vs. Predator: Requiem,75
My Favorite Martian,75
The Colony (2013),75
The Platform,75
The Hidden,75
BZRK,75
Eden Green,75
Element Bots,75
Ender's Shadow,75
The Lovers,75
Noonday Jackals,75
Railhead,75
Rod Allbright Alien Adventures,75
Akumetsu,75
Alive: The Final Evolution,75
Æon,75
Lancer,75
Splicers,75
Land of the Giants,75
The Power (2023),75
Resident Evil (2022),75
Chimera Beast,75
Close to the Sun,75
Command & Conquer: Tiberian Dawn,75
Haze,75
Mega Man 3,75
Prismata,75
Unreal Championship 2: The Liandri Conflict,75
Wayward Sons,75
Academy of Superheroes,75
Busou Shinki,74
Dancougar,74
Macross Plus,74
Xenozoic Tales,74
A Wrinkle in Time (2018),74
Koi... Mil Gaya,74
The Adam Project,74
The Returner,74
The Bay,74
