Title,Tropes Count
ULTRAKILL,332
The Suicide Squad,331
BattleTech (2018),331
Yoko Tsuno,330
The Empire Strikes Back,330
Air Gear,329
Dark Matter (2015),328
Destiny 2,328
Xenogears,328
Eclipse Phase,327
First Encounter Assault Recon,327
ANNO: Mutationem,326
Stargate Universe,325
Green Lantern: The Animated Series,325
Milo Murphy's Law,325
Danganronpa 3: The End of Hope's Peak High School,324
Orion's Arm,324
Friends at the Table,323
Metroid Prime,323
Cyberchase,323
The Laundry Files,322
Alien: Isolation,322
Splatoon 3,322
Brigadoon: Marin and Melan,321
Mobile Fighter G Gundam,321
Star Trek: First Contact,321
Deus Ex,321
Make a Good Mega Man Level Contest,321
Men in Black,320
New Jedi Order,320
F-Zero,320
The Matrix: Path of Neo,320
Command & Conquer: Red Alert 3,318
Resident Evil 2 (Remake),316
Starship Troopers,315
Xeelee Sequence,315
Star Trek: Enterprise,315
The Rise of Skywalker,314
Interstellar,314
Sym-Bionic Titan,314
Back to the Future Part II,313
Franken Fran,313
ARK: Survival Evolved,313
Star Wars Jedi: Fallen Order,313
RoboCop (1987),312
Spy X Family,312
Sonic the Hedgehog (2006),312
A Certain Scientific Railgun,311
Metroid Prime 2: Echoes,309
Iron Man 2,308
Aldnoah.Zero,307
The Fifth Element,307
The Thrawn Trilogy,307
R-Type,306
Big Hero 6: The Series,306
The Thrilling Adventure Hour,305
Dr. STONE,303
Girls' Frontline,303
Halo: Reach,303
The Outer Worlds,303
Voltron: Legendary Defender,303
Back to the Future,302
DOOM (2016),302
Sonic 3 & Knuckles,302
Avatar,301
Assassin's Creed: Brotherhood,301
Metroid: Other M,301
Hitman: Absolution,300
Star Trek: Discovery,299
BioShock 2,299
Demolition Man,297
Danganronpa V3: Killing Harmony,297
Edge of Tomorrow,296
Full Metal Panic!,294
Detroit: Become Human,294
Star Trek VI: The Undiscovered Country,293
The World's End,293
Red Dwarf,293
The Ministry of Time,293
Day of the Tentacle,293
Metal Gear Solid,293
Wild Kratts,293
I Miss the Sunrise,292
Dredd,291
Zone of the Enders,291
Jem,291
The Boys,290
2001: A Space Odyssey,290
Halo 4,290
Doki Doki Literature Club!,290
Symphogear,288
Black Widow (2021),288
Safehold,288
Freezing,288
Death Stranding,288
Sonic Mania,288
Inspector Gadget,288
Sid Meier's Alpha Centauri,286
Space Station 13,286
The Transformers,286
Diamonds Are Forever,285
Deadman Wonderland,285
Die Another Day,284
Ant-Man and the Wasp,284
Lensman,284
The Orville,284
Space☆Dandy,283
Back to the Future: The Game,283
Destiny,283
Dans Une Galaxie Près De Chez Vous,282
Borderlands: The Pre-Sequel!,281
Dead Space 2,281
The Phantom Menace,280
Zombieland,279
Nausicaä of the Valley of the Wind,279
Revolution,279
Civilization: Beyond Earth,279
EarthBound Beginnings,279
PlanetSide,279
Super Mario Galaxy 2,279
Ready Player One (2018),278
Psionics: The Next Stage in Human Evolution,278
Dark (2017),278
Trauma Center,278
Command & Conquer: Red Alert 2,277
Hitman: Blood Money,277
Metro: Last Light,277
Darth Bane,275
Half-Life,275
StarCraft II: Wings of Liberty,274
The Terminator,273
District 9,272
All of Us Are Dead,272
Spellbinder,272
Kirby's Return to Dream Land,272
Syndicate,272
The Expanse,271
EVE Online,271
Sonic Heroes,271
My Life as a Teenage Robot,271
Blake and Mortimer,270
The Fly (1986),270
GURPS,270
Infinite Space,270
Metro 2033,270
Destroyermen,269
Fate of the Jedi,269
X-COM,269
Dragon Ball GT,268
Forward,268
Wolf 359,268
Alphas,268
Kirby: Planet Robobot,267
Metal Gear Solid: Peace Walker,267
Exo Squad,267
Trollhunters,267
John Carter of Mars,266
Among Us,266
Guilty Gear,266
Awful Hospital,266
Transmetropolitan,265
Total Recall (1990),265
Gantz,265
Harsh Tales,264
The Penumbra Podcast,264
Armored Core,264
BioShock,264
Sonic Forces,264
Blade Runner 2049,263
Nikolai Dante,262
The Amazing Spider-Man,262
Free Guy,262
Doom³,262
The Thing (1982),261
Metroid Prime Trilogy,261
System Shock 2,261
Sunrider,261
Moonraker,260
Solo,260
BioShock,260
Elite Dangerous,260
Killing Floor,260
Enter the Gungeon,259
Mobile Suit Gundam SEED,258
Justice League (2017),258
Belisarius Series,258
Dead Space,258
Digimon Adventure,257
Macross Frontier,257
Jurassic World: Fallen Kingdom,257
Deathstalker,257
In Death,257
Battle Angel Alita,257
Underrail,257
Psycho-Pass,256
Everything Everywhere All at Once,256
Sonic Colors,256
Fallout 2,255
I Was a Teenage Exocolonist,254
Shadow the Hedgehog,254
The Force Unleashed,254
Spider-Man,253
Star Trek Beyond,253
The Cyantian Chronicles,253
V for Vendetta,252
Cat Planet Cuties,252
AKIRA,252
Adastra (2018),252
It's Walky!/Joyce and Walky!,252
Beast Wars,252
The Scrameustache,251
A Clockwork Orange,251
Emberverse,251
Goddess of Victory: NIKKE,251
LEGO Star Wars,251
Vanquish,251
Superman: The Movie,250
Jak 3,250
Star Fox Adventures,250
Ben 10,249
The Dinosaur Lords,248
Freelancer,248
Darth Plagueis,247
Kerbal Space Program,247
Falling Skies,246
Black Mesa,246
Virtue's Last Reward,246
Iron Man,245
Star Trek: Deep Space Nine Relaunch,245
Infinite Stratos,244
Worldwar,244
Wasteland 3,244
Liaden Universe,243
Sliders,243
Star Wars: Clone Wars,243
∀ Gundam,242
Dirty Pair,242
Call of Duty: Black Ops II,242
1984,241
Killjoys,241
Red Faction,241
Eureka Seven: Paradox Makers,241
Freedom Wars,240
Jak II: Renegade,240
Primal Carnage,240
Doctor Slump,239
Dying Light,239
Chaos;Head,239
Titan Empire,238
Mutant: Year Zero,238
Resident Evil 3 (Remake),238
Eureka Seven,237
Dune (2021),237
"I, Robot",237
On Her Majesty's Secret Service,237
Dark Heresy,237
Transformers: Rescue Bots,237
Daredevil (2003),236
Getter Robo,236
The Handmaid's Tale,236
Fallout 76,236
Killing Floor 2,236
Sonic Frontiers,236
Code:Realize,236
Mobile Suit Gundam,235
Back to the Future Part III,235
Minority Report,235
Wing Commander,235
Revenge of the Sith,234
AI: The Somnium Files,234
Eternals,233
The Running Man,233
Prometheus,233
The Boys (2019),233
FreeSpace,233
Sentou Yousei Yukikaze,232
Time Scout,232
Terminator: The Sarah Connor Chronicles,232
Gargantia on the Verdurous Planet,231
Mobile Suit Zeta Gundam,230
Nope,230
Oni,230
Black Panther: Wakanda Forever,229
Sins of a Solar Empire,229
Sonic Generations,229
Phantasy Star Online 2: New Genesis,228
Otherland,227
Revelation Space Series,227
Digimon Adventure 02,226
Mobile Suit Gundam AGE,226
GUN×SWORD,226
The Peripheral (2022),226
Bastion,226
Ratchet & Clank: Going Commando,226
Shadows of the Empire,225
Giant Robo,225
Wasteland 2,225
We Happy Few,225
